2026-09-21T14:54:18Z INFO Logging to /tmp/logs/update_2026-09-21T14-54-18Z.log.
2026-09-21T14:54:18Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T14:54:18Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:54:19Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:19Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:54:20Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:20Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:56:46Z INFO [108/500] 0a7cb91e-5e6b-4856-bf64-ac1b07888439: cophenetic index 624; 0.6 s; peak memory 272 MiB.
2026-09-21T14:56:48Z INFO [109/500] 0a7d0d2c-3641-4a88-9230-79e957d312f0: cophenetic index 2236; 1.7 s; peak memory 272 MiB.
2026-09-21T14:56:48Z INFO [110/500] 0a7dc89c-1423-4b94-8c13-d3b264ad0efa: cophenetic index 646; 0.4 s; peak memory 272 MiB.
2026-09-21T14:56:49Z INFO [111/500] 0a7dd5bc-1456-43ea-bc3d-9d996a1da34f: cophenetic index 2625; 0.7 s; peak memory 272 MiB.
2026-09-21T14:56:50Z INFO [112/500] 0a7ddf3f-95f3-43d4-ab54-d2c9414b2e21: cophenetic index 1978; 0.9 s; peak memory 272 MiB.
2026-09-21T14:57:12Z INFO [113/500] 0a7f0a16-6600-4837-95f6-b976849e60e4: cophenetic index 20366456; 22.0 s; peak memory 333 MiB.
2026-09-21T14:57:16Z INFO [114/500] 0a7f10dc-be3f-40f4-9f0b-307043658548: cophenetic index 93831; 4.2 s; peak memory 333 MiB.
2026-09-21T14:57:17Z INFO [115/500] 0a7fa69f-cbb0-4984-8de9-d243c1afa2f9: cophenetic index 624; 0.5 s; peak memory 333 MiB.
2026-09-21T14:57:22Z INFO [116/500] 0a80bda8-220b-422e-80c1-4cfdaf8e99df: cophenetic index 71818; 5.1 s; peak memory 333 MiB.
2026-09-21T14:57:22Z INFO [117/500] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: cophenetic index 651; 0.4 s; peak memory 333 MiB.
2026-09-21T14:57:23Z INFO [118/500] 0a81ecdb-c7a4-4db1-8d29-6a34e3ba4c6b: cophenetic index 1087; 0.7 s; peak memory 333 MiB.
2026-09-21T14:57:23Z INFO [119/500] 0a82102a-794e-4950-987f-cbce9f9be474: cophenetic index 624; 0.5 s; peak memory 333 MiB.
2026-09-21T14:57:24Z INFO [120/500] 0a8341eb-038b-4ffa-9c64-3d4cf0047732: cophenetic index 515; 0.9 s; peak memory 333 MiB.
2026-09-21T14:57:25Z INFO [121/500] 0a8350da-eb46-4fc8-8390-3c52eed3ca98: cophenetic index 649; 0.6 s; peak memory 333 MiB.
2026-09-21T14:57:25Z INFO [122/500] 0a8386d6-1ff1-47bc-b6cd-cfac8fc776f4: cophenetic index 3004; 0.6 s; peak memory 333 MiB.
2026-09-21T14:57:30Z INFO [123/500] 0a84461c-181f-4f46-b1a4-a4642fef65ff: cophenetic index 120855; 4.1 s; peak memory 333 MiB.
2026-09-21T14:57:30Z INFO [124/500] 0a84bf03-c7c5-42f6-b5ef-8de387365d2c: cophenetic index 3087; 0.6 s; peak memory 333 MiB.
2026-09-21T14:57:31Z INFO [125/500] 0a84e4ef-6db1-430d-8487-1db639d7766b: cophenetic index 33968; 0.9 s; peak memory 333 MiB.
2026-09-21T14:57:39Z INFO [126/500] 0a85baad-b893-44de-9b73-e1c7f97968aa: cophenetic index 689648; 7.5 s; peak memory 333 MiB.
2026-09-21T14:57:39Z INFO [127/500] 0a86ba9e-9586-49a8-8b9a-16c96a1e76f2: cophenetic index 2767; 0.7 s; peak memory 333 MiB.
2026-09-21T14:57:40Z INFO [128/500] 0a877886-28af-402a-9e02-d13dd3b04484: cophenetic index 490; 0.4 s; peak memory 333 MiB.
2026-09-21T14:57:44Z INFO [129/500] 0a87c2d2-d2d6-4f59-aec8-446a3097507e: cophenetic index 166848; 3.9 s; peak memory 333 MiB.
2026-09-21T14:57:45Z INFO [130/500] 0a885379-ef0c-418e-940c-d424b99fc169: cophenetic index 5473; 1.7 s; peak memory 333 MiB.
2026-09-21T14:57:46Z INFO [131/500] 0a88c6d1-bd94-4b2d-a3ce-7367ee2e0b4f: cophenetic index 751; 0.4 s; peak memory 333 MiB.
2026-09-21T14:57:46Z INFO [132/500] 0a89b310-78a2-4bb8-b9a0-f06f64ce2d6e: cophenetic index 490; 0.4 s; peak memory 333 MiB.
2026-09-21T14:57:46Z INFO [133/500] 0a8a7a4c-f121-4508-88b6-6b9518d2b045: cophenetic index 755; 0.4 s; peak memory 333 MiB.
2026-09-21T14:57:47Z INFO [134/500] 0a8bd1ca-b118-4971-ab9f-41085918b2de: cophenetic index 33962; 0.7 s; peak memory 333 MiB.
2026-09-21T14:57:48Z INFO [135/500] 0a8bfeab-0cd5-4599-a43b-fa30f7cea325: cophenetic index 624; 0.5 s; peak memory 333 MiB.
2026-09-21T14:57:51Z INFO [136/500] 0a8c3be7-f5b3-4c8f-9504-82417230ddd5: cophenetic index 92336; 3.7 s; peak memory 333 MiB.
2026-09-21T14:57:52Z INFO [137/500] 0a8c8b4c-ae83-42c6-a941-869332c709b1: cophenetic index 2974; 0.6 s; peak memory 333 MiB.
2026-09-21T14:57:53Z INFO [138/500] 0a8ed172-bbb9-403b-a01f-f138715d5eb3: cophenetic index 2625; 0.6 s; peak memory 333 MiB.
2026-09-21T14:57:53Z INFO [139/500] 0a8f38e1-c7ba-4175-b0a5-f2a30e88eccf: cophenetic index 624; 0.5 s; peak memory 333 MiB.
2026-09-21T14:58:01Z INFO [140/500] 0a90b642-c4a9-443d-bbd7-b2ec00e5cbb4: cophenetic index 1389418; 7.7 s; peak memory 333 MiB.
2026-09-21T14:58:01Z INFO [141/500] 0a915eb0-89a2-4b7c-87be-9b9cf235f5fa: cophenetic index 3004; 0.7 s; peak memory 333 MiB.
